topic_title,categories,is_pm,post,like_count,reply_count,url,created_at
networks,Lesson 2. Deciding who we hire,No,"
Who to hire: 
Local Mechanic shop--Word of mouth from neighbors and this has been great recommendation from neighbors. They are trustworthy and do a great job for a fair price. 

Lawn person: Word of mouth from neighbor. In Florida, a good lawn person is priceless, 

Photographer:  Personal knowledge of person. 

I have more experience hiring freelances for the nonprofit I work for. I look for prior experience in case management serving the elderly from local county government  Of course, we do updated background screens, but I want someone within the aging and disability network. They help our clients mange their own care and keep within boundaries.

The common thread so to speak is networks and word of mouth.   Thinking back, I was hired for my freelance gig because I was familiar with the agency.  Ha, I just need to get them to talk to other people. 



@homeroom5 @philippeamstutz @clementb   @luketalbot",1,1,https://fr3.akimbo.com/t/networks/28783/1,2020-04-11T00:07:02.966Z
RE: Craftsmanship--going deeper,-,Yes,"Hi! 

Did you miss Orlando? I have mostly lived in Tampa and the Lakeland area for nearly 20 years now. I moved here from Iowa and enjoy the diversity here-- mostly Tampa.


In terms of coworking groups  I was referring to this  https://fr3.akimbo.com/c/coworking-groups/160. I would love some technical shop talk.",0,1,https://fr3.akimbo.com/t/re-craftsmanship-going-deeper/28427/4,2020-04-11T00:21:22.453Z
Craftsmanship--going deeper,Lesson 1. Avoiding the race to the bottom,No,"Thank you @jenkramer , for this great feedback.",1,0,https://fr3.akimbo.com/t/craftsmanship-going-deeper/28109/5,2020-04-11T01:05:57.644Z
Data Science--R-TidyTuesday,Resource recommendations,No,"Hey @homeroom5,

Here is an example of sharing and demonstrating your expertise. https://www.youtube.com/watch?v=vT-DElIaKtE

It's also really cool if you like data science and visualizations.",1,1,https://fr3.akimbo.com/t/data-science-r-tidytuesday/27606/3,2020-04-11T01:25:49.091Z
Systems Change,Coworking groups,No,"Hey, @blakeangelo and @lizbailey I love systems theory and I love applying in the work setting. 

Let me know if come up with items to discuss or a framework for a group.",1,1,https://fr3.akimbo.com/t/systems-change/26741/4,2020-04-11T16:25:29.960Z
It feels good to admit it,Lesson 1. Avoiding the race to the bottom,No,"Hey @luketalbot are you able to give some clients a glimpse of what is possible without  killing yourself for free or extra work. 
Occasionally, I am am willing and able to give them a peak at some possibilities.",0,1,https://fr3.akimbo.com/t/it-feels-good-to-admit-it/28794/4,2020-04-11T17:32:14.476Z
Coworking group,-,Yes,Are you interested in doing a coworking group around data science/analysis? I can think of least another person who may interested.,0,0,https://fr3.akimbo.com/t/coworking-group/28963/1,2020-04-11T17:47:30.101Z
Coworking group,-,Yes,"Yes, I think designers would be great to include--there are so many aspects from design to learn from. 
There is also a system group trying to start and that is intriguing-",0,0,https://fr3.akimbo.com/t/coworking-group/28963/3,2020-04-11T23:40:16.094Z
Systems Change,Coworking groups,No,"After these workshop prompts--I realized I need to apply systems to my freelance business. Funny, I help implement for clients and employer but not for myself.

I think a topic could also be communicating system concepts and ideas to sell an idea and or communicate impact.

@lizbailey thank you for the book recommendation.  I will check it out. I was introduced to the *Fifth Discipline* in grad-school and it blew me away.",0,0,https://fr3.akimbo.com/t/systems-change/26741/6,2020-04-11T23:48:15.794Z
It feels good to admit it,Lesson 1. Avoiding the race to the bottom,No,"Hey, @luketalbot I build dashboards and reports for clients so it is easy for to roll out incremental improvements and features on my own terms. It is interesting to read these posts to learn more about challenges. Best of luck with your efforts.",1,0,https://fr3.akimbo.com/t/it-feels-good-to-admit-it/28794/6,2020-04-11T23:55:09.627Z
Coworking group,-,Yes,"ha, I jut looked at the profile of one of the one of the individuals talking about the systems group and she is a graphic designer.",1,0,https://fr3.akimbo.com/t/coworking-group/28963/4,2020-04-11T23:57:57.288Z
What are you doing with that data?,Lesson 3. The client you wish you had,No,"# A client you will never work with again
I have not encountered this yet but I have sense for this. A client that can't answer how they are going use the data I am capturing and reporting for them. A big red flag emerges when things are just done for grant compliance or with an answer-because we have to.

# The best client you've had
Like Seth has pointed out-- a client that pushes you to do your best work. And interesting  sidenote--is that if you are providing service for an organization you have to find the right product manager or staff person. My freelance projects took a turn for the better when another staff member took over a role. She would ask good questions and provided me more opportunities for expanded work. She wanted to use the data to better serve her clients.

# A client someone else has; you wish you had
I am at the bottom feeding on scraps. Large nonprofits with budgets are hiring established research firms to conduct analysis. They might be better at completing a one time analysis however I am not sure they are better at teaching the organization how to collect, manage and report their data on their own.  How many nonprofit organizations want this? In the data science realm, I am a beginner but a nonprofit professional applying data science and helping nonprofits set up infrastructure to collect and report on data--that is unique. Note to self, it may be beneficial to join American Evaluation Association and join a working group of independent consultants--I think they have this group.


# Section 2

## Are there good clients

I suspect there are good clients and there will be an emerging market for evaluation and need to make sense of data. I don't encounter many people doing nonprofit  evaluation. Most of the  evaluation consultants, I have worked with provide overviews but not in the weeds; how are we going to solve this problem.  Good clients want to use data to better serve their clients and there is some sort of friction in obtaining the data they need. The issue is that that they don't know who to turn to solve this problem so they continue with the status quo. 

### Sending signals
I think a good way to signal is through a website.  Identify through blog post the problem and signal I can help with this. I  highlight applications but I may not be doing a good job conveying how I may be able to help an organization solve a particular problem. Currently my website is more personal and does not convey that I am for hire. An issue I face is that I have grown my freelance work but to the point of replacing my full time gig.  So there is the issue of commitment. I think another way to signal from other analyst is to convey that the analysis will be done through code rather than spreadsheet. This makes the analysis reproducible and provides opportunities for interactive dashboard and reports.

## Screening Methods
My screening method would be to determine how they are going to use the data; how are they using the data or why do they want the problem solved I would also screen for determining if the are  determined to stick with only spreadsheets and reports in Word.  Maybe we would work together but it may not be a good fit. 

@homeroom5, thanks to @jenkramer for reminding me what makes me different. @jessicagemm @oleg, @DavidCobb @philippeamstutz",3,2,https://fr3.akimbo.com/t/what-are-you-doing-with-that-data/29176/1,2020-04-12T17:33:56.704Z
networks,Lesson 2. Deciding who we hire,No,My strategy will be to reshape my website to offer some content on how to solve some problems. How do you feel about asking clients to  complete a testimonial? That is an idea for the client to articulate the benefit of a service. Any ideas you may have?,0,1,https://fr3.akimbo.com/t/networks/28783/3,2020-04-12T17:40:12.866Z
Digital freelancer's mastermind to rule the world!,Coworking groups,No,I would be interested in joining this.,1,0,https://fr3.akimbo.com/t/digital-freelancers-mastermind-to-rule-the-world/29363/4,2020-04-13T21:11:06.969Z
What are you doing with that data?,Lesson 3. The client you wish you had,No,Thank you! @jessicagemm would love further conversation on nonprofit arena and any other connections. Also thank you for your feedback.  I am impressed with your business model--I suspect demand will grow for this.,1,0,https://fr3.akimbo.com/t/what-are-you-doing-with-that-data/29176/4,2020-04-13T21:29:21.501Z
networks,Lesson 2. Deciding who we hire,No,"Hey, @clementb it depends. I am not looking for a lot of traffic I am looking for the right traffic. I would want my website to signal to others the possibilities.  It is not enough though...Has been successful heck no. :slight_smile:

What are your thoughts?",0,0,https://fr3.akimbo.com/t/networks/28783/5,2020-04-14T20:55:30.615Z
Digital freelancer's mastermind to rule the world!,Coworking groups,No,"Hey, Eastern Time Zone,  available from 4:15 -9 M-F and flexible on the weekends!",2,0,https://fr3.akimbo.com/t/digital-freelancers-mastermind-to-rule-the-world/29363/14,2020-04-15T20:18:01.568Z
crafmanship zen,Lesson 4. Five levels of freelancers,No,"
## What level of freelancer work are you doing most often?
The level of freelance work I am working at is craftmanship.  Thinking back I started as a handyman as I was available for cheap. I have been able to increase my skills and obtain more work and move to the craftmanship realm.

## What level of freelancer do you want to be more often?
I am shooting for remarkable level.  I want the client to pass this application or report to another organization and for them to say we need to hire this person.  


## At what level do you feel most comfortable? 
Craftmanship for sure; I will automate anything  that becomes mundane or mechanic turk like tasks.

### What level does it feel like you’ll never reach?
Unique and remarkable seem so far away but all you can do is try to get closer and closer.

### What are the obstacles and opportunities to reaching each level for you?
There are amazing opportunities to increase skills in R and Shiny. Working to get certified in Shiny framework. This will help me continue to grow.  


### What resources will you need to move up?
Time, experience, and  mentorship.

### How can you honestly figure out what level you’re actually on?
This is an interesting question. Can you answer this question on your own without feedback from clients and public. I suspect one has to be authentic and not be to caught up in chasing a shiny object. My strategy is  to identify what may be needed and scaffle up to deliver. Will this be enough to considered unique and remarkable--all you can do you drive toward this road. I am curious what @farid and @oleg may think about this.   

### Which level are the freelancers you admire working on?
I lookup to the unique and remarkable because they are able to craft their tools to deliver what is needed. They solve a problem that takes into account all the details and the big-picture. They can use tools and craft their own tools

### How much time and energy do you estimate you’d needed to change levels?
I am about three away if I can keep up with my rate of improvement. 
### Is there anything specific holding you up?
Time....but I make use of what I have. 

Random thought:  this topic made me think of [Zen and the Art of Motorcycle Maintenance](https://www.goodreads.com/book/show/629.Zen_and_the_Art_of_Motorcycle_Maintenance)

@homeroom5, @zitagalantai @zacharyhorsfield",2,3,https://fr3.akimbo.com/t/crafmanship-zen/30114/1,2020-04-15T20:47:55.857Z
Articulating unique contributions,Lesson 4. Five levels of freelancers,No,"[quote=""timryan, post:1, topic:30113""]
So many of the companies I work for claim to be different, but more or less offer the same service. In other words, I think my industry suffers from a sea of sameness, so I’m not alone.
[/quote]

Do you see anyway to craft any way out of the sameness--even a small change or shift? It can be tough to go outside of the grain. 

I relate a lot to what you are saying here.",0,1,https://fr3.akimbo.com/t/articulating-unique-contributions/30113/2,2020-04-15T20:54:17.642Z
The Spiritual Marketplace,Lesson 4. Five levels of freelancers,No,"Hi @janicegates

[quote=""janicegates, post:1, topic:28957""]
I have an internal conflict that I get tangled in around spirituality and marketing…not wanting to ‘sell’ myself or my work in some ways feeling that is not ‘spiritual’ to market it, yet at the same time wanting the best clients to know I exist and I am good, then through referrals to get higher paying and more interesting clients to reach a wider population
[/quote]

I am in a totally separate line of work and feel  the hesitation or resistance to market myself because I don't want to chase. I am struggling to find specific suggestions for you but to encourage you to find what feels right for you. Good luck!",2,1,https://fr3.akimbo.com/t/the-spiritual-marketplace/28957/17,2020-04-15T21:06:05.084Z
The Spiritual Marketplace,Lesson 4. Five levels of freelancers,No,Awesome! Where you did you grow up. I grew up in the Cedar Rapids area.,0,0,https://fr3.akimbo.com/t/the-spiritual-marketplace/28957/19,2020-04-16T20:21:38.273Z
crafmanship zen,Lesson 4. Five levels of freelancers,No,"[quote=""lisaashburn, post:2, topic:30114""]
How does your approach differ from theirs? Does it differ
[/quote]

Hi, my approach is the same--think and hope. It is a matter of increasing my skill level.",0,0,https://fr3.akimbo.com/t/crafmanship-zen/30114/3,2020-04-16T20:24:55.157Z
A Talented Impostor,Lesson 6. Merit and fear,No,"Hi @oleg  I struggle with this as well

[quote=""oleg, post:1, topic:30417""]
My biggest fear is that I’m fooling myself that I offer high value and remain deluded about my greatness as a specialist. Is there a way that I can somehow test this to be more confident in what I’m offering?
[/quote]

I think you have to start with your internal sense of quality and branch out. But ways to test the worth? This question is helping me articulate a possible answer. 
With a prior success are you able to articulate the value of your product to a business. This can be time saved, money saved,  to test the quality with the impact. I think this is where the ability to ask good questions is paramount.  How is this helping you.",1,1,https://fr3.akimbo.com/t/a-talented-impostor/30417/4,2020-04-16T21:13:56.038Z
"Clients, buckets and the sense of worth",Lesson 7. Money is a story,No,Hi @oleg  check this out [American Evaluation Association](https://www.eval.org/) and maybe [Canada Evaluation Association](https://evaluationcanada.ca/about-us). This presents another market for your skills-- Also  the American Evaluation Association has a robust data visualization community and it may provide opportunities to showcase your work. I can think of two freelancers who have used this venue to make successful freelance careers.,1,0,https://fr3.akimbo.com/t/clients-buckets-and-the-sense-of-worth/30432/5,2020-04-17T00:47:49.826Z
packing my bag,Lesson 5. Owning the  role (and the dip),No,"**Part 1: Owning the role**

### What are the things you do that you  **can’t**  outsource? Make a list.\\
* Design the data pipeline
* write functions
* develop reports and dashboards

### Then identify the one thing that is the most you that is worth talking about.

I want people talking about how I helped make the data process easy and that they understand the data and know how to use the their data.

**Part 2: Letting go**

### What are the things you do that you could outsource, without the client caring that you did?
I have built the pipeline; the right person could be trained to prepare the surveys in Qualtrics and download or fetch the data from Qualtrics.

#### Then identify which ones you’re holding onto, 
I am not certain what I would pay someone to do this; it would have to be the right person. Some of this could be automate

### Act as if, what would you do with your time since you won’t have to do those things?**

Add features, learn new techniques, deploy my own server. better understand statistics and modeling.  

**Part 3: Making it through**

## What resources do you need to make it through the inevitable dip? Make a list.

* Mastering Shiny Book
* Shiny Developer Series
* Rstudio Community


**Part 4: What will you take with you**
I viewed this more a metaphor

My backpack includes:
* Grit
* Discipline
* Shiny (software development) certification
* Experience using Docker to deploy applications. 

Dropping my preconceived notion that I can only be valuable to nonprofits and look to expand customer base.

@homeroom5   @DavidCobb @andrewknapp @kevingonsalves @kimsmith",1,1,https://fr3.akimbo.com/t/packing-my-bag/30784/1,2020-04-18T00:02:39.025Z
crafmanship zen,Lesson 4. Five levels of freelancers,No,That is good idea;  I try to remind myself to ask good questions!,1,0,https://fr3.akimbo.com/t/crafmanship-zen/30114/5,2020-04-18T00:12:17.700Z
What are you doing with that data?,Lesson 3. The client you wish you had,No,"Hi @DavidCobb nice to meet you.

I love designing data pipelines for smallish/medium sized organizations. From the data entry, processing,  and report output. 

How about you?",0,0,https://fr3.akimbo.com/t/what-are-you-doing-with-that-data/29176/6,2020-04-18T00:18:40.615Z
A Psychic Bean Counter,Lesson 6. Merit and fear,No,"Hi @nigelromano I love the frame as well.  I am in a field where I may not be able to break much new ground; but the application of data science to the client's situation is where the magic happens!
I know the feeling where people roll their eyes around data!",1,0,https://fr3.akimbo.com/t/a-psychic-bean-counter/29785/5,2020-04-18T14:05:03.488Z
What did you say to me?!,Lesson 6. Merit and fear,No,"Hey, @farid to your critic; learning something on the internet is a feature, it demonstrates grit and intelligence.",2,1,https://fr3.akimbo.com/t/what-did-you-say-to-me/30945/2,2020-04-18T14:34:55.200Z
Conversing..........,Lesson 6. Merit and fear,No,"### Prompt


**Talent**

What do I believe my work is worth?


_imposter:_
> Your work is average and pedestrian and most likely not of any value to other organizations.

_kevin_
>  I am not so sure this is true; the organizations I have worked and served collect and manage data in less than optimal ways. They are busy serving people and that is their focus-- not on data methods.

**Fear**
### What are my fears?
_imposter_
>  You are never going to pick up another client; your current client will not renew; you will never be able to freelance full time.


_kevin_

**That would suck; but you are still in the game: focus and finish, improve your craft to such they can't ignore you.**


**Skill*

## What are the skills I’m good at?

_kevin_

 * Designing data pipelines
     *   Creation of data collection tools in Qualtrics, Survey Monkey, Google Forms etc
     *   Processing the data through SQl, R, spreadsheet functions
           *Create functions to automate standards processing tasks
     *   Reporting the data through html reports,  Web Applications--Shiny Application, Shiny Dashboards



_imposter_

> Recall you are not great at regular expressions; 

_Kevin_ 

 you can work around this; you can use use stackoverflow; you don't have to fold up shop over this.



### What have I mastered?

_kevin_

There is always room for growth but  the creation of data tools, and data processing are pretty well mastered.

### What are the skills I’m developing?

_kevin_
 A loft of growth opportunities and value for me are in the web development--Shiny Applications.
 I can also stylize my reports to make them more unique.

_imposter_
> You are never going to figure out how to do this.

_kevin_: 
> You may be right but I have lots of examples of eventually figuring things out.  In fact, I have blog post that document many successes of overcoming challenges.

_imposter_: 
> Yeah, but it took you nearly a year and half to figure out how to implement parameterized reports in Rmarkdown.

_kevin_
> imposter that was not the question; you said I would never figure this new thing out . I did not convey it would be easy and could do this in an hour. For the longest time, I could not figure out how to write a function in R but one day I could and now I can't stop writing them. 


### If someone wanted to hire a freelancer in the top 5%, are you on that list? How do you know?

_imposter_

> You are not in the top 5% in any of these skills

_kevin_

> true, but I am in the top 5% for my client. I have the subject domain expertise to apply the skills above to their problem.  

**Talent**
Am I talented?
(And if the rest is skill, how am I earning more of it?)

I like to think I am talented with empathy and systems thinking.
I love to learn and see how I can improve the data service to my clients.

 

@homeroom5, @jessicagemm @oleg, @farid",2,4,https://fr3.akimbo.com/t/conversing/30992/1,2020-04-18T18:29:09.869Z
packing my bag,Lesson 5. Owning the  role (and the dip),No,The thrill is real when you see them using it!,1,0,https://fr3.akimbo.com/t/packing-my-bag/30784/4,2020-04-18T18:33:29.260Z
The Path to Unmistakable,Lesson 10. Unmistakably you,No,"Hey @oleg love the dashboards! They look awesome :star_struck: :star_struck: :star_struck: 

[quote=""oleg, post:1, topic:30754""]
**How do you create or relieve tension when you work with a client?**

I explain to them how much they should place value on simplicity and the tool they want to get to be cognitively undemanding. I highlight that I’m driven by best practices that they can trust. I point that I’m approaching the work taking multiple considerations into account (systems thinking, design, best practices research)
[/quote]

You may want to consider how you can fit this story into your client's narrative rather than trying to convince them. Maybe don't beat them over the head with the simplicity but just let them experience the simplicity. I am totally shooting from the hip here and could be totally wrong. :upside_down_face:",1,1,https://fr3.akimbo.com/t/the-path-to-unmistakable/30754/3,2020-04-18T18:43:44.403Z
Don't disappoint.....!,Lesson 6. Merit and fear,No,"[quote=""lisaashburn, post:2, topic:31016""]
Yes, it is difficult to be seen and feel judged, but I can’t imagine that it would put you out of business. Instead, you’re more likely to put out signals to your ideal client.
[/quote]

I think this very insightful @lisaashburn. @shelleyrandles What are ways that you could dance with these fears to ensure you are sending signals of expertise that we know you have. 

If someone wanted to hire a freelancer in the top 5%, are you on that list?

> I don’t think I am, but I don’t know how I would measure myself in comparison to others in the business…

I would ask if you are not sure how to measure yourself in comparison then how do you know you are not in the top 5%? That is okay but perhaps imagine what those in the top 5% are doing or characteristics  and think about how you could get to be in the conversation.",0,0,https://fr3.akimbo.com/t/dont-disappoint/31016/3,2020-04-19T18:08:05.082Z
More Aha moments needed !!!,Lesson 4. Five levels of freelancers,No,"Hi @carold, 

Maybe you did not cover in this post but an  approach to take  to make your work unique and remarkable is to convey a point of view for your clients--this can also be used to  signal cost points.

Please feel free to consider adding me to your network of people for any type of support.",0,1,https://fr3.akimbo.com/t/more-aha-moments-needed/31310/3,2020-04-20T01:50:27.464Z
The Stories That I Tell Myself,Lesson 6. Merit and fear,No,"Hi @erikbrendon, this is a great post. 
 
I feel your concern about outsourcing; but you seem to dislike the mundane.  Maybe explore if you or a programmer could automate some tasks? I suspect you would know enough to find the right person or train someone. Just a thought!",1,0,https://fr3.akimbo.com/t/the-stories-that-i-tell-myself/30997/4,2020-04-20T02:20:16.774Z
What are you doing with that data?,Lesson 3. The client you wish you had,No,This is link is super helpful-thanks.,1,0,https://fr3.akimbo.com/t/what-are-you-doing-with-that-data/29176/8,2020-04-21T01:15:03.093Z
More Aha moments needed !!!,Lesson 4. Five levels of freelancers,No,"Happy that it provided a useful frame. Another way to think about how your approach or even skills may differ from your competition. 

I will reach out.",0,0,https://fr3.akimbo.com/t/more-aha-moments-needed/31310/8,2020-04-21T18:20:28.203Z
increase style,Lesson 7. Money is a story,No,"**Part 1: A client you will never work with again**

#### Story about money

They want a specified result and want to pay the minimum amount of money

#### What bucket did they put you in

They put me in handiperson's bucket.  They just wanted something done.

#### What signals were they  looking for related to price

They wanted to know how low I would be willing to work for. 

#### How much do they spend on the kind of work you do.

I am not sure what their budget was for evaluation services; somewhat limited as it would need to be a proportion of grant. 

**Part 2: The best client you’ve had**

* What’s their story about money?'
They were looking forward to a strategic partnership and wanted to better harness their data.
* What bucket did they put you in?
A crafsperson- they were engaged; appreciated the work asked for features that challenged me to do better work. 
* What signals are they looking for related to price?
They were looking for competency and ability to process data quickly and present the data. 
* How much do they spend on the kind of work you do?
They don't hire anyone else to do what I do. 

**Part 3: A client someone else has you wish you had**

* What’s their story about money?
They would be happy to pay a freelancer as opposed to paying a staff person to process data.
* What bucket did they put you in?
A craftsperson
* What signals are they looking for related to price?
They may be concerned that the service will cost them too much money; they will want to know they are getting quality work and service for a price they can afford.  They probably don't have priors purchasing this service; or other people handled the hiriing process. 
* How much do they spend on the kind of work you do?
They are typically hiring a person directly, or a big foundation is completing the evaluation for them so it is not always clear to me what their budget is.

Do you want to charge more for your work? And if so, what’s holding you back?
Yes,  and it their and my story about money that is holding me back. I like the cause and I am able to develop my craft while making some extra money.   My set up fee was okay but feel I need to increase my maintenance fee; I need to find a good ratio of pay to the amount  of work I am putting in on a monthly basis.  I have a bit more leverage then I utilize and I suspect they have a bigger budget to spend on this based on my per day cost over a quarter; even if i only spend 20 days a month  working for them they are getting a bargain. 

### And finally, what would have to change about your work (in the broadest sense) for it to be seen as worth it? 

I can give my work some more style-- a signature to so speak; I can improve in styling reports to mirror what a large foundation would produce. 

@homeroom5, @oleg   @jessicagemm @farid",1,3,https://fr3.akimbo.com/t/increase-style/32610/1,2020-04-25T16:10:31.675Z
